ticker,cik,sector,gics,start,end,note
ED,1047862,gics_util,Utilities,,,
STZ,16918,gics_staples,Consumer Staples,,,
CEG,1868275,gics_util,Utilities,,,
COO,711404,gics_health,Health Care,,,
CPRT,900075,gics_indu,Industrials,,,
GLW,24741,hardware,Information Technology,,,
CPAY,1175454,gics_fin,Financials,,,
CTVA,1755672,gics_mat,Materials,,,
CSGP,1057352,gics_re,Real Estate,,,
COST,909832,gics_staples,Consumer Staples,,,
CTRA,858470,gics_energy,Energy,,,
CRWD,1535527,software,Information Technology,,,
CCI,1051470,gics_re,Real Estate,,,
CSX,277948,gics_indu,Industrials,,,
CMI,26172,gics_indu,Industrials,,,
CVS,64803,gics_health,Health Care,,,
DRI,940944,gics_discr,Consumer Discretionary,2015-11-30,,分拆 2015-11-10×1.11869
DDOG,1561550,gics_it,Information Technology,,,
DVA,927066,gics_health,Health Care,,,
DAY,1725057,gics_indu,Industrials,,,
DECK,910521,gics_discr,Consumer Discretionary,,,
DE,315189,gics_indu,Industrials,,,
DELL,1571996,hardware,Information Technology,2021-12-01,,分拆 2018-12-28×1.806;2021-11-02×1.973
DAL,27904,gics_indu,Industrials,,,
DVN,1090012,gics_energy,Energy,,,
DXCM,1093557,gics_health,Health Care,,,
FANG,1539838,gics_energy,Energy,,,
DLR,1297996,gics_re,Real Estate,,,
DG,29534,gics_staples,Consumer Staples,,,
DLTR,935703,gics_staples,Consumer Staples,,,
D,715957,gics_util,Utilities,,,
DPZ,1286681,gics_discr,Consumer Discretionary,,,
DASH,1792789,gics_discr,Consumer Discretionary,,,
DOV,29905,gics_indu,Industrials,2014-03-31,,分拆 2014-03-03×1.205
DOW,1751788,gics_mat,Materials,,,
DHI,882184,gics_discr,Consumer Discretionary,,,
DUK,1326160,gics_util,Utilities,,,
DD,1666700,gics_mat,Materials,2019-06-30,,分拆 2019-06-03×0.4725
EMN,915389,gics_mat,Materials,,,
ETN,1551182,gics_indu,Industrials,,,
EBAY,1065088,internet,Consumer Discretionary,2015-08-01,,分拆 2015-07-20×2.376
ECL,31462,gics_mat,Materials,,,
EIX,827052,gics_util,Utilities,,,
EW,1099800,gics_health,Health Care,,,
EA,712515,internet,Communication Services,,,
ELV,1156039,gics_health,Health Care,,,
EMR,32604,gics_indu,Industrials,,,
ENPH,1463101,gics_it,Information Technology,,,
ETR,65984,gics_util,Utilities,,,
EOG,821189,gics_energy,Energy,,,
EPAM,1352010,itservices,Information Technology,,,
EQT,33213,gics_energy,Energy,2018-11-30,,分拆 2018-11-13×1.837
EFX,33185,gics_indu,Industrials,,,
EQIX,1101239,gics_re,Real Estate,,,
EQR,906107,gics_re,Real Estate,,,
ERIE,922621,gics_fin,Financials,,,
ESS,920522,gics_re,Real Estate,,,
EL,1001250,gics_staples,Consumer Staples,,,
EG,1095073,gics_fin,Financials,,,
EVRG,1711269,gics_util,Utilities,,,
ES,72741,gics_util,Utilities,,,
EXC,1109357,gics_util,Utilities,2022-02-28,,分拆 2022-02-02×1.402
EXE,895126,gics_energy,Energy,,,
EXPE,1324424,gics_discr,Consumer Discretionary,,,
EXPD,746515,gics_indu,Industrials,,,
EXR,1289490,gics_re,Real Estate,,,
XOM,34088,gics_energy,Energy,,,
FFIV,1048695,hardware,Information Technology,,,
FDS,1013237,gics_fin,Financials,,,
FICO,814547,software,Information Technology,,,
FAST,815556,gics_indu,Industrials,,,
FRT,34903,gics_re,Real Estate,,,
FDX,1048911,gics_indu,Industrials,,,
FIS,1136893,gics_fin,Financials,,,
FITB,35527,gics_fin,Financials,,,
FSLR,1274494,gics_it,Information Technology,,,
FE,1031296,gics_util,Utilities,,,
FI,798354,gics_fin,Financials,,,
F,37996,gics_discr,Consumer Discretionary,,,
FTNT,1262039,software,Information Technology,,,
FTV,1659166,gics_indu,Industrials,2020-10-31,,分拆 2020-10-09×1.195
FOXA,1754301,gics_comm,Communication Services,,,
BEN,38777,gics_fin,Financials,,,
FCX,831259,gics_mat,Materials,,,
GRMN,1121788,gics_discr,Consumer Discretionary,,,
IT,749251,itservices,Information Technology,,,
GE,40545,gics_indu,Industrials,2023-01-31,,分拆 2019-02-26×1.04;2023-01-04×1.281
GEHC,1932393,gics_health,Health Care,,,
GEN,849399,gics_it,Information Technology,,,
GNRC,1474735,gics_indu,Industrials,,,
GD,40533,gics_indu,Industrials,,,
GIS,40704,gics_staples,Consumer Staples,,,
GM,1467858,gics_discr,Consumer Discretionary,,,
GPC,40987,gics_discr,Consumer Discretionary,,,
GILD,882095,gics_health,Health Care,,,
GPN,1123360,gics_fin,Financials,,,
GL,320335,gics_fin,Financials,,,
GDDY,1609711,gics_it,Information Technology,,,
GS,886982,gics_fin,Financials,,,
HAL,45012,gics_energy,Energy,,,
HIG,874766,gics_fin,Financials,,,
HAS,46080,gics_discr,Consumer Discretionary,,,
HCA,860730,gics_health,Health Care,,,
DOC,765880,gics_re,Real Estate,2016-11-30,,分拆 2016-11-01×1.098
HSIC,1000228,gics_health,Health Care,2019-02-28,,分拆 2019-02-08×1.275
HSY,47111,gics_staples,Consumer Staples,,,
HPE,1645590,hardware,Information Technology,2017-09-30,,分拆 2017-09-01×1.289
HLT,1585689,gics_discr,Consumer Discretionary,2017-01-31,,分拆 2017-01-04×0.487329
HOLX,859737,gics_health,Health Care,,,
HD,354950,gics_discr,Consumer Discretionary,,,
HON,773840,gics_indu,Industrials,2018-10-31,,分拆 2016-10-03×1.00533;2018-10-01×1.011;2018-10-29×1.032
HRL,48465,gics_staples,Consumer Staples,,,
HST,1070750,gics_re,Real Estate,2009-11-30,,分拆 2009-11-04×1.0215
HWM,4281,gics_indu,Industrials,,,
HPQ,47217,hardware,Information Technology,2015-11-30,,分拆 2015-11-02×2.202
HUBB,48898,gics_indu,Industrials,,,
HUM,49071,gics_health,Health Care,,,
HBAN,49196,gics_fin,Financials,,,
HII,1501585,gics_indu,Industrials,,,
IBM,51143,itservices,Information Technology,2021-11-30,,分拆 2021-11-04×1.046
IEX,832101,gics_indu,Industrials,,,
IDXX,874716,gics_health,Health Care,,,
ITW,49826,gics_indu,Industrials,,,
INCY,879169,gics_health,Health Care,,,
IR,1699150,gics_indu,Industrials,,,
PODD,1145197,gics_health,Health Care,,,
INTC,50863,semis,Information Technology,,,
IBKR,1381197,gics_fin,Financials,,,
ICE,1571949,gics_fin,Financials,,,
IFF,51253,gics_mat,Materials,,,
IP,51434,gics_mat,Materials,2021-10-31,,分拆 2014-07-02×1.014;2021-10-01×1.056
IPG,51644,gics_comm,Communication Services,,,
INTU,896878,software,Information Technology,,,
ISRG,1035267,gics_health,Health Care,,,
IVZ,914208,gics_fin,Financials,,,
INVH,1687229,gics_re,Real Estate,,,
IQV,1478242,gics_health,Health Care,,,
IRM,1020569,gics_re,Real Estate,2014-09-30,,分拆 2014-09-26×1.082
JBHT,728535,gics_indu,Industrials,,,
JBL,898293,hardware,Information Technology,,,
JKHY,779152,gics_fin,Financials,,,
JNJ,200406,gics_health,Health Care,,,
JCI,833444,gics_indu,Industrials,2016-09-30,,分拆 2016-09-06×0.955
JPM,19617,gics_fin,Financials,,,
KVUE,1944048,gics_staples,Consumer Staples,,,
KDP,1418135,gics_staples,Consumer Staples,,,
KEY,91576,gics_fin,Financials,,,
KEYS,1601046,hardware,Information Technology,,,
KMB,55785,gics_staples,Consumer Staples,2014-11-30,,分拆 2014-11-03×1.043
KIM,879101,gics_re,Real Estate,,,
KMI,1506307,gics_energy,Energy,,,
KKR,1404912,gics_fin,Financials,,,
KLAC,319201,semicap,Information Technology,,,
KHC,1637459,gics_staples,Consumer Staples,,,
KR,56873,gics_staples,Consumer Staples,,,
LHX,202058,gics_indu,Industrials,2009-05-31,,分拆 2009-05-11×1.05843
LH,920148,gics_health,Health Care,2023-07-31,,分拆 2023-07-03×1.164
LRCX,707549,semicap,Information Technology,,,
LW,1679273,gics_staples,Consumer Staples,,,
LVS,1300514,gics_discr,Consumer Discretionary,,,
LDOS,1336920,gics_indu,Industrials,2013-09-30,,分拆 2013-09-30×0.405
LII,1069202,gics_indu,Industrials,,,
LLY,59478,gics_health,Health Care,,,
LIN,1707925,gics_mat,Materials,,,
LYV,1335258,gics_comm,Communication Services,,,
LKQ,1065696,gics_discr,Consumer Discretionary,,,
LMT,936468,gics_indu,Industrials,,,
L,60086,gics_fin,Financials,,,
LOW,60667,gics_discr,Consumer Discretionary,,,
LULU,1397187,gics_discr,Consumer Discretionary,,,
LYB,1489393,gics_mat,Materials,,,
MPC,1510295,gics_energy,Energy,,,
MKTX,1278021,gics_fin,Financials,,,
MAR,1048286,gics_discr,Consumer Discretionary,2011-11-30,,分拆 2009-06-23×1.004;2009-08-18×1.004;2009-11-17×1.003;2011-11-22×1.061
MMC,62709,gics_fin,Financials,,,
MLM,916076,gics_mat,Materials,,,
