ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
IBKR,2021-12-31,2022-02-25,2022-02-25,378000000,,,6.7e+07,95009880,4,380039520.0,-0.20000000000000004,-0.05000000000000001,,2.395e+09,2.395e+09,0
IBKR,2022-03-31,2022-05-09,2022-05-09,402000000,,,7.3e+07,99224776,4,396899104.0,0.1,0.025,,2.456e+09,2.667e+09,0
IBKR,2022-06-30,2022-08-09,2022-08-09,365000000,,,7.2e+07,99695489,4,398781956.0,0.1,0.025,,2.524e+09,2.881e+09,0
IBKR,2022-09-30,2022-11-08,2022-11-08,365000000,,,9.9e+07,102555482,4,410221928.0,0.1,0.025,,2.677e+09,3.184e+09,0
IBKR,2022-12-31,2023-02-24,2023-02-24,374000000,,,1.36e+08,101299609,4,405198436.0,-0.20000000000000004,-0.05000000000000001,,2.848e+09,3.436e+09,0
IBKR,2023-03-31,2023-05-08,2023-05-08,400000000,,,1.48e+08,104042571,4,416170284.0,0.1,0.025,,3.001e+09,3.214e+09,0
IBKR,2023-06-30,2023-08-08,2023-08-08,369000000,,,1.25e+08,104463729,4,417854916.0,0.1,0.025,,3.158e+09,3.681e+09,0
IBKR,2023-09-30,2023-11-06,2023-11-06,385000000,,,1.67e+08,107011427,4,428045708.0,0.1,0.025,,3.39e+09,3.824e+09,0
IBKR,2023-12-31,2024-02-27,2024-02-27,403000000,,,1.6e+08,105846877,4,423387508.0,-0.20000000000000004,-0.05000000000000001,,3.584e+09,3.753e+09,0
IBKR,2024-03-31,2024-05-06,2024-05-06,438000000,,,1.75e+08,108149440,4,432597760.0,0.1,0.025,,3.732e+09,4.063e+09,0
IBKR,2024-06-30,2024-08-05,2024-08-05,474000000,,,1.79e+08,108626836,4,434507344.0,0.25,0.0625,,3.927e+09,3.918e+09,0
IBKR,2024-09-30,2024-11-07,2024-11-07,507000000,,,1.84e+08,109536360,4,438145440.0,0.25,0.0625,,4.145e+09,3.595e+09,0
IBKR,2024-12-31,2025-02-27,2025-02-27,558000000,,,2.17e+08,109002938,4,436011752.0,,,,4.28e+09,3.633e+09,0
IBKR,2025-03-31,2025-05-08,2025-05-08,592000000,,,2.13e+08,109865741,4,439462964.0,0.25,0.0625,,4.502e+09,3.5e+09,0
IBKR,2025-06-30,2025-08-06,2025-08-06,578000000,,,2.24e+08,441439924,1,441439924.0,0.08,0.08,,4.825e+09,4.688e+09,0
ICE,2013-03-31,2014-05-08,2014-05-08,352000000,,200000000,1.36e+08,73000000,5,365000000.0,0.0,0.0,,,1.391e+09,0
ICE,2013-06-30,2014-08-07,2014-08-07,372000000,,225000000,1.53e+08,73000000,5,365000000.0,0.0,0.0,,10,10,0
ICE,2013-09-30,2014-11-04,2014-11-04,338000000,,202000000,1.41e+08,74000000,5,370000000.0,0.0,0.0,,10,10,0
