ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
CVX,2009-03-31,2009-05-07,2009-05-07,36130000000,,,1837000000,1.99951e+09,1,1.99951e+09,0.65,0.65,6.428e+09,8.7816e+10,9.304e+09,1.1866e+10
CVX,2009-06-30,2009-08-06,2009-08-06,40205000000,,,1745000000,1.99967e+09,1,1.99967e+09,0.65,0.65,6.484e+09,8.7958e+10,7.344e+09,1.1718e+10
CVX,2009-09-30,2009-11-05,2009-11-05,46625000000,,,3831000000,2.00059e+09,1,2.00059e+09,0.68,0.68,6.323e+09,9.0646e+10,7.689e+09,1.0213e+10
CVX,2009-12-31,2010-02-25,2010-02-25,48676000000,,,3070000000,2.001e+09,1,2.001e+09,,,5.529e+09,9.1914e+10,8.822e+09,1.0213e+10
CVX,2010-03-31,2010-05-05,2010-05-05,48179000000,,,4552000000,2.00422e+09,1,2.00422e+09,0.68,0.68,6.078e+09,9.5349e+10,7.46e+09,1.0095e+10
CVX,2010-06-30,2010-08-05,2010-08-05,53004000000,,,5409000000,2.006e+09,1,2.006e+09,0.72,0.72,5.911e+09,9.9569e+10,9.462e+09,1.0168e+10
CVX,2010-09-30,2010-11-05,2010-11-05,49718000000,,,3768000000,2.00678e+09,1,2.00678e+09,0.72,0.72,6.137e+09,1.02243e+11,1.1061e+10,1.0313e+10
CVX,2010-12-31,2011-02-24,2011-02-24,54027000000,,,5295000000,2.007e+09,1,2.007e+09,,,5.493e+09,1.05081e+11,1.4215e+10,5.669e+09
CVX,2011-03-31,2011-05-05,2011-05-05,60341000000,,,6211000000,2.00858e+09,1,2.00858e+09,0.72,0.72,6.232e+09,1.101e+11,1.3294e+10,1.1301e+10
CVX,2011-06-30,2011-08-04,2011-08-04,68948000000,,,7732000000,2.009e+09,1,2.009e+09,0.78,0.78,7.286e+09,1.15653e+11,1.3556e+10,1.1386e+10
CVX,2011-09-30,2011-11-03,2011-11-03,64432000000,,,7829000000,1.99867e+09,1,1.99867e+09,0.78,0.78,6.072e+09,1.20891e+11,1.4477e+10,9.629e+09
CVX,2011-12-31,2012-02-23,2012-02-23,59985000000,,,5123000000,2.001e+09,1,2.001e+09,,,5.543e+09,1.21382e+11,1.6113e+10,4.118e+09
CVX,2012-03-31,2012-05-03,2012-05-03,60705000000,,,6471000000,1.97878e+09,1,1.97878e+09,0.81,0.81,7.347e+09,1.25507e+11,1.911e+10,9.161e+09
CVX,2012-06-30,2012-08-02,2012-08-02,62608000000,,,7210000000,1.96799e+09,1,1.96799e+09,0.9,0.9,7.186e+09,1.29997e+11,2.1455e+10,1.0124e+10
CVX,2012-09-30,2012-11-06,2012-11-06,58044000000,,,5253000000,1.96014e+09,1,1.96014e+09,0.9,0.9,7.995e+09,1.32941e+11,2.1574e+10,1.2237e+10
CVX,2012-12-31,2013-02-22,2013-02-22,60552000000,,,7245000000,1.965e+09,1,1.965e+09,,,6.144e+09,1.36524e+11,2.1205e+10,6.106e+09
CVX,2013-03-31,2013-05-02,2013-05-02,56818000000,,,6178000000,1.94393e+09,1,1.94393e+09,0.9,0.9,6.664e+09,1.40134e+11,1.764e+10,1.405e+10
CVX,2013-06-30,2013-08-07,2013-08-07,57369000000,,,5365000000,1.93678e+09,1,1.93678e+09,1.0,1.0,7.423e+09,1.42841e+11,2.0888e+10,1.9873e+10
CVX,2013-09-30,2013-11-08,2013-11-08,58503000000,,,4950000000,1.92983e+09,1,1.92983e+09,1.0,1.0,6.893e+09,1.44779e+11,1.7272e+10,1.8487e+10
CVX,2013-12-31,2014-02-21,2014-02-21,56158000000,,,4930000000,1.932e+09,1,1.932e+09,,,6.38e+09,1.49113e+11,1.6508e+10,1.196e+10
CVX,2014-03-31,2014-05-02,2014-05-02,53265000000,,,4512000000,1.90942e+09,1,1.90942e+09,1.0,1.0,7.472e+09,1.50661e+11,1.5875e+10,2.2968e+10
CVX,2014-06-30,2014-08-06,2014-08-06,57938000000,,,5665000000,1.90232e+09,1,1.90232e+09,1.07,1.07,7.215e+09,1.53581e+11,1.4227e+10,1.5898e+10
CVX,2014-09-30,2014-11-07,2014-11-07,54679000000,,,5593000000,1.89649e+09,1,1.89649e+09,1.07,1.07,7.304e+09,1.5614e+11,1.4482e+10,1.8065e+10
CVX,2014-12-31,2015-02-20,2015-02-20,46088000000,,,3471000000,1.898e+09,1,1.898e+09,,,6.505e+09,1.55028e+11,1.3207e+10,1.596e+10
CVX,2015-03-31,2015-05-07,2015-05-07,34558000000,,,2567000000,1.8765e+09,1,1.8765e+09,1.07,1.07,6.837e+09,1.55803e+11,1.3107e+10,2.6608e+10
CVX,2015-06-30,2015-08-05,2015-08-05,40357000000,,,571000000,1.8767e+09,1,1.8767e+09,1.07,1.07,7.116e+09,1.54669e+11,1.2521e+10,2.4221e+10
CVX,2015-09-30,2015-11-06,2015-11-06,34315000000,,,2037000000,1.87242e+09,1,1.87242e+09,1.07,1.07,6.864e+09,1.54912e+11,1.3239e+10,2.828e+10
CVX,2015-12-31,2016-02-25,2016-02-25,29247000000,,,-588000000,1.875e+09,1,1.875e+09,,,6.334e+09,1.52716e+11,1.1332e+10,2.8558e+10
CVX,2016-03-31,2016-05-05,2016-05-05,23553000000,,,-725000000,1.86978e+09,1,1.86978e+09,1.07,1.07,6.508e+09,1.50307e+11,8.879e+09,4.2265e+10
CVX,2016-06-30,2016-08-04,2016-08-04,29282000000,,,-1470000000,1.872e+09,1,1.872e+09,1.07,1.07,6.427e+09,1.47163e+11,9.084e+09,4.5017e+10
CVX,2016-09-30,2016-11-03,2016-11-03,30140000000,,,1283000000,1.88334e+09,1,1.88334e+09,1.07,1.07,5.976e+09,1.468e+11,7.672e+09,4.5519e+10
CVX,2016-12-31,2017-02-23,2017-02-23,31497000000,,,415000000,1.873e+09,1,1.873e+09,,,5.419e+09,1.45556e+11,7.001e+09,3.8743e+10
CVX,2017-03-31,2017-05-04,2017-05-04,33421000000,,,2682000000,1.89539e+09,1,1.89539e+09,1.08,1.08,5.921e+09,1.46592e+11,6.994e+09,4.5161e+10
CVX,2017-06-30,2017-08-03,2017-08-03,34480000000,16155000000.0,,1450000000,1.89301e+09,1,1.89301e+09,1.08,1.08,6.075e+09,1.46203e+11,4.775e+09,4.2771e+10
CVX,2017-09-30,2017-11-02,2017-11-02,36205000000,17429000000.0,,1952000000,1.89588e+09,1,1.89588e+09,1.08,1.08,5.761e+09,1.46713e+11,6.654e+09,4.188e+10
CVX,2017-12-31,2018-02-22,2018-02-22,37616000000,,,3111000000,1.898e+09,1,1.898e+09,,,5.585e+09,1.48124e+11,4.822e+09,3.6954e+10
CVX,2018-03-31,2018-05-03,2018-05-03,37764000000,16531000000.0,,3638000000,1.91322e+09,1,1.91322e+09,1.12,1.12,6.128e+09,1.50356e+11,6.504e+09,3.9655e+10
CVX,2018-06-30,2018-08-02,2018-08-02,42236000000,17492000000.0,,3409000000,1.91895e+09,1,1.91895e+09,1.12,1.12,6.644e+09,1.52198e+11,7.686e+09,3.8377e+10
CVX,2018-09-30,2018-11-08,2018-11-08,43987000000,19306000000.0,,4047000000,1.91747e+09,1,1.91747e+09,1.12,1.12,6.029e+09,1.53575e+11,9.746e+09,3.5975e+10
CVX,2018-12-31,2019-02-22,2019-02-22,42352000000,18432000000.0,,3730000000,1.914e+09,1,1.914e+09,,,5.704e+09,1.54554e+11,9.395e+09,2.8729e+10
CVX,2019-03-31,2019-05-02,2019-05-02,35200000000,15497000000.0,,2649000000,1.90075e+09,1,1.90075e+09,1.19,1.19,6.723e+09,1.55045e+11,8.755e+09,7.023e+09
CVX,2019-06-30,2019-08-07,2019-08-07,38850000000,18015000000.0,,4305000000,1.90298e+09,1,1.90298e+09,1.19,1.19,6.809e+09,1.56395e+11,8.571e+09,5.588e+09
CVX,2019-09-30,2019-11-07,2019-11-07,36116000000,16234000000.0,,2580000000,1.89393e+09,1,1.89393e+09,1.19,1.19,5.951e+09,1.55841e+11,1.1755e+10,7.795e+09
CVX,2019-12-31,2020-02-21,2020-02-21,36350000000,16657000000.0,,-6610000000,1.895e+09,1,1.895e+09,1.19,1.19,5.848e+09,1.44213e+11,6.974e+09,2.3784e+10
CVX,2020-03-31,2020-05-06,2020-05-06,31501000000,15992000000.0,,3599000000,1.86565e+09,1,1.86565e+09,1.29,1.29,6.574e+09,1.4393e+11,9.74e+09,8.688e+09
CVX,2020-06-30,2020-08-05,2020-08-05,13494000000,5350000000.0,,-8270000000,1.85331e+09,1,1.85331e+09,1.29,1.29,5.511e+09,1.34118e+11,7.838e+09,3.751e+09
CVX,2020-09-30,2020-11-05,2020-11-05,24451000000,11003000000.0,,-207000000,1.85353e+09,1,1.85353e+09,1.29,1.29,5.681e+09,1.31774e+11,7.819e+09,5.3e+08
CVX,2020-12-31,2021-02-25,2021-02-25,25246000000,11859000000.0,,-665000000,1.87e+09,1,1.87e+09,1.29,1.29,5.676e+09,1.31688e+11,6.768e+09,2.8276e+10
CVX,2021-03-31,2021-05-06,2021-05-06,32029000000,14461000000.0,,1377000000,1.91589e+09,1,1.91589e+09,1.29,1.29,5.62e+09,1.31888e+11,8.296e+09,4.841e+09
CVX,2021-06-30,2021-08-05,2021-08-05,37597000000,16968000000.0,,3082000000,1.92196e+09,1,1.92196e+09,1.34,1.34,6.239e+09,1.33182e+11,8.722e+09,3.497e+09
CVX,2021-09-30,2021-11-04,2021-11-04,44710000000,20876000000.0,,6111000000,1.9211e+09,1,1.9211e+09,1.34,1.34,6.129e+09,1.35862e+11,7.059e+09,2.91e+08
CVX,2021-12-31,2022-02-24,2022-02-24,48129000000,20788000000.0,,5055000000,1.92e+09,1,1.92e+09,1.3399999999999999,1.3399999999999999,6.305e+09,1.39067e+11,6.83e+09,3.0622e+10
CVX,2022-03-31,2022-05-04,2022-05-04,54373000000,21724000000.0,,6259000000,1.94454e+09,1,1.94454e+09,1.42,1.42,6.525e+09,1.46219e+11,1.2839e+10,3.14e+08
CVX,2022-06-30,2022-08-04,2022-08-04,68762000000,28759000000.0,,11622000000,1.95711e+09,1,1.95711e+09,1.42,1.42,7.715e+09,1.53554e+11,1.237e+10,3.23e+09
CVX,2022-09-30,2022-11-03,2022-11-03,66644000000,28554000000.0,,11231000000,1.94e+09,1,1.94e+09,1.42,1.42,9.002e+09,1.5868e+11,1.5431e+10,2.221e+09
CVX,2022-12-31,2023-02-23,2023-02-23,56473000000,21799000000.0,,6353000000,1.94e+09,1,1.94e+09,1.42,1.42,8.247e+09,1.59282e+11,1.7901e+10,2.1669e+10
CVX,2023-03-31,2023-05-04,2023-05-04,50793000000,21386000000.0,,6574000000,1.90078e+09,1,1.90078e+09,1.51,1.51,9.232e+09,1.59449e+11,1.5798e+10,2.931e+09
CVX,2023-06-30,2023-08-03,2023-08-03,48896000000,19912000000.0,,6010000000,1.87551e+09,1,1.87551e+09,1.51,1.51,9.198e+09,1.58325e+11,9.61e+09,1.269e+09
CVX,2023-09-30,2023-11-02,2023-11-02,54080000000,21752000000.0,,6526000000,1.8771e+09,1,1.8771e+09,1.51,1.51,9.428e+09,1.65265e+11,5.938e+09,4.4e+08
CVX,2023-12-31,2024-02-26,2024-02-26,47180000000,18703000000.0,,2259000000,1.88e+09,1,1.88e+09,1.5099999999999998,1.5099999999999998,8.612e+09,1.60957e+11,8.223e+09,1.7931e+10
CVX,2024-03-31,2024-05-02,2024-05-02,48716000000,20975000000.0,,5501000000,1.84912e+09,1,1.84912e+09,1.63,1.63,9.942e+09,1.60625e+11,6.278e+09,2.82e+08
CVX,2024-06-30,2024-08-07,2024-08-07,51181000000,20314000000.0,,4434000000,1.83343e+09,1,1.83343e+09,1.63,1.63,1.0477e+10,1.59233e+11,4.008e+09,1.735e+09
CVX,2024-09-30,2024-11-07,2024-11-07,50669000000,20219000000.0,,4487000000,1.80703e+09,1,1.80703e+09,1.63,1.63,9.725e+09,1.56202e+11,5.764e+09,5.144e+09
CVX,2024-12-31,2025-02-21,2025-02-21,52226000000,22078000000.0,,3239000000,1.817e+09,1,1.817e+09,1.63,1.63,9.074e+09,1.52318e+11,8.262e+09,1.8848e+10
CVX,2025-03-31,2025-05-08,2025-05-08,47610000000,19000000000.0,,3500000000,1.75144e+09,1,1.75144e+09,1.71,1.71,9.167e+09,1.49244e+11,6.166e+09,4.076e+09
CVX,2025-06-30,2025-08-07,2025-08-07,44822000000,17964000000.0,,2490000000,1.7244e+09,1,1.7244e+09,1.71,1.71,8.813e+09,1.46417e+11,5.375e+09,6.191e+09
