ticker,month,mc,px
VST,2023-02-01,9.18044e+09,21.99
VST,2023-03-01,1.01387e+10,24
VST,2023-04-01,1.00796e+10,23.86
VST,2023-05-01,9.28965e+09,23.97
VST,2023-06-01,1.01733e+10,26.25
VST,2023-07-01,1.08747e+10,28.06
VST,2023-08-01,1.18389e+10,31.42
VST,2023-09-01,1.2502e+10,33.18
VST,2023-10-01,1.23287e+10,32.72
VST,2023-11-01,1.31778e+10,35.41
VST,2023-12-01,1.43352e+10,38.52
VST,2024-01-01,1.52693e+10,41.03
VST,2024-02-01,2.0463e+10,54.54
VST,2024-03-01,2.61322e+10,69.65
VST,2024-04-01,2.84546e+10,75.84
VST,2024-05-01,3.45756e+10,99.08
VST,2024-06-01,3.00041e+10,85.98
VST,2024-07-01,2.76451e+10,79.22
VST,2024-08-01,3.02702e+10,85.43
VST,2024-09-01,4.2002e+10,118.54
VST,2024-10-01,4.42768e+10,124.96
VST,2024-11-01,5.59766e+10,159.84
VST,2024-12-01,4.82826e+10,137.87
VST,2025-01-01,5.88447e+10,168.03
VST,2025-02-01,4.71241e+10,133.66
VST,2025-03-01,4.14055e+10,117.44
VST,2025-04-01,4.57033e+10,129.63
VST,2025-05-01,5.45617e+10,160.57
VST,2025-06-01,6.58566e+10,193.81
VST,2025-07-01,7.08619e+10,208.54
VST,2025-08-01,6.53385e+10,189.11
VST,2025-09-01,6.76914e+10,195.92
VST,2025-10-01,6.50586e+10,188.3
VST,2025-11-01,6.17971e+10,178.86
VST,2025-12-01,5.57404e+10,161.33
VST,2026-01-01,5.47107e+10,158.35
VST,2026-02-01,6.00799e+10,173.89
VST,2026-03-01,5.19398e+10,150.33
VST,2026-04-01,5.45345e+10,157.84
VST,2026-05-01,5.53603e+10,160.23
VST,2026-06-01,5.48075e+10,158.63
VST,2026-07-01,5.12004e+10,148.19
VST,2026-08-01,4.7462e+10,137.37
VST,2026-09-01,4.76694e+10,137.97
CEG,2022-05-01,2.03622e+10,62.08
CEG,2022-06-01,1.87813e+10,57.26
CEG,2022-07-01,2.16808e+10,66.1
CEG,2022-08-01,2.67615e+10,81.59
CEG,2022-09-01,2.72863e+10,83.19
CEG,2022-10-01,3.10091e+10,94.54
CEG,2022-11-01,3.15274e+10,96.12
