ticker,month,mc,px
DY,2026-09-01,8.53041e+09,280.94
MOD,2019-12-01,3.9116e+08,6.16
MOD,2020-03-01,1.66075e+08,2.6
MOD,2020-06-01,2.82072e+08,4.416
MOD,2020-09-01,3.18125e+08,5
MOD,2020-12-01,6.44328e+08,10.048
MOD,2021-03-01,7.57701e+08,11.816
MOD,2021-06-01,8.51067e+08,13.272
MOD,2021-09-01,5.94825e+08,9.064
MOD,2021-12-01,5.30734e+08,8.072
MOD,2022-03-01,4.72124e+08,7.208
MOD,2022-06-01,5.51772e+08,8.424
MOD,2022-09-01,6.78056e+08,10.352
MOD,2022-12-01,1.04662e+09,15.888
MOD,2023-03-01,1.21934e+09,18.44
MOD,2023-06-01,1.74676e+09,26.416
MOD,2023-09-01,2.42475e+09,36.6
MOD,2023-12-01,3.98498e+09,59.7
MOD,2024-03-01,5.06411e+09,95.19
MOD,2024-06-01,5.33011e+09,100.19
MOD,2024-09-01,7.15738e+09,132.79
MOD,2024-12-01,6.24863e+09,115.93
MOD,2025-03-01,4.13682e+09,76.75
MOD,2025-06-01,5.30915e+09,98.5
MOD,2025-09-01,7.63399e+09,142.16
MOD,2025-12-01,7.18284e+09,133.51
MOD,2026-03-01,1.14423e+10,216.71
MDU,2019-12-01,5.92367e+09,29.71
MDU,2020-03-01,4.31028e+09,21.5
MDU,2020-06-01,4.44611e+09,22.18
MDU,2020-09-01,4.51213e+09,22.5
MDU,2020-12-01,5.2843e+09,26.34
MDU,2021-03-01,6.35118e+09,31.61
MDU,2021-06-01,6.29784e+09,31.34
MDU,2021-09-01,5.98423e+09,29.67
MDU,2021-12-01,6.26638e+09,30.84
MDU,2022-03-01,5.41501e+09,26.65
MDU,2022-06-01,5.48952e+09,26.99
MDU,2022-09-01,5.56302e+09,27.35
MDU,2022-12-01,6.17856e+09,30.34
MDU,2023-03-01,6.20707e+09,30.48
MDU,2023-06-01,4.26988e+09,20.94
MDU,2023-09-01,3.99191e+09,19.58
MDU,2023-12-01,4.03694e+09,19.8
MDU,2024-03-01,5.13793e+09,25.2
MDU,2024-06-01,5.12509e+09,25.1
MDU,2024-09-01,5.60759e+09,27.41
MDU,2024-12-01,3.6883e+09,18.02
MDU,2025-03-01,3.4611e+09,16.91
MDU,2025-06-01,3.41667e+09,16.67
MDU,2025-09-01,3.65481e+09,17.81
MDU,2025-12-01,4.00716e+09,19.52
MDU,2026-03-01,4.25351e+09,20.72
MDU,2026-06-01,4.39034e+09,21.21
MDU,2026-09-01,3.89248e+09,18.39
MOG-A,2019-12-01,2.40561e+09,54.6112
MOG-A,2020-03-01,1.40625e+09,32.3392
MOG-A,2020-06-01,1.42772e+09,33.9072
MOG-A,2020-09-01,2.07117e+09,40.6592
MOG-A,2020-12-01,3.23162e+09,63.44
MOG-A,2021-03-01,2.68052e+09,66.52
MOG-A,2021-06-01,2.71728e+09,67.248
MOG-A,2021-09-01,2.46644e+09,60.984
MOG-A,2021-12-01,2.6198e+09,64.776
MOG-A,2022-03-01,2.82612e+09,70.24
MOG-A,2022-06-01,2.55006e+09,63.512
MOG-A,2022-09-01,2.25594e+09,56.28
MOG-A,2022-12-01,2.81424e+09,70.208
MOG-A,2023-03-01,3.21138e+09,80.6
MOG-A,2023-06-01,3.47452e+09,86.744
MOG-A,2023-09-01,3.62233e+09,90.368
MOG-A,2023-12-01,5.8034e+09,144.78
MOG-A,2024-03-01,6.43575e+09,159.65
MOG-A,2024-06-01,5.40972e+09,167.3
MOG-A,2024-09-01,6.54734e+09,202.02
MOG-A,2024-12-01,6.37946e+09,196.84
MOG-A,2025-03-01,5.6178e+09,173.35
MOG-A,2025-06-01,5.7806e+09,180.97
MOG-A,2025-09-01,6.62404e+09,207.67
MOG-A,2025-12-01,7.7685e+09,243.55
MOG-A,2026-03-01,9.37776e+09,292.64
MOG-A,2026-06-01,1.36063e+10,423.84
MOG-A,2026-09-01,1.20278e+10,374.98
NSSC,2019-12-01,3.48655e+08,6.01907
NSSC,2020-03-01,1.79982e+08,3.10682
NSSC,2020-06-01,2.77177e+08,4.79027
NSSC,2020-09-01,2.78481e+08,4.8128
NSSC,2020-12-01,3.85791e+08,6.71232
NSSC,2021-03-01,6.40959e+08,11.1456
NSSC,2021-06-01,6.69626e+08,11.6384
NSSC,2021-09-01,7.93167e+08,13.7856
NSSC,2021-12-01,9.20732e+08,15.9936
NSSC,2022-03-01,7.57147e+08,13.1328
NSSC,2022-06-01,7.59339e+08,13.1776
NSSC,2022-09-01,1.07244e+09,18.6112
NSSC,2022-12-01,1.01649e+09,17.5872
NSSC,2023-03-01,1.39035e+09,24.0512
NSSC,2023-06-01,1.28489e+09,22.176
NSSC,2023-09-01,8.25074e+08,14.24
NSSC,2023-12-01,1.58732e+09,27.4
NSSC,2024-03-01,1.48664e+09,32.128
NSSC,2024-06-01,1.92828e+09,41.56
NSSC,2024-09-01,1.87724e+09,40.46
NSSC,2024-12-01,1.32212e+09,35.56
NSSC,2025-03-01,8.46584e+08,23.02
NSSC,2025-06-01,1.07635e+09,29.69
NSSC,2025-09-01,1.55707e+09,42.95
NSSC,2025-12-01,1.49557e+09,41.7
NSSC,2026-03-01,1.41469e+09,39.39
NSSC,2026-06-01,1.35554e+09,37.98
NSSC,2026-09-01,1.28345e+09,35.96
FIZZ,2019-12-01,1.91333e+09,16.3264
FIZZ,2020-03-01,1.59688e+09,13.648
FIZZ,2020-06-01,2.28469e+09,19.5264
FIZZ,2020-09-01,2.54379e+09,21.7632
FIZZ,2020-12-01,3.97986e+09,33.96
FIZZ,2021-03-01,3.66277e+09,39.128
FIZZ,2021-06-01,3.53696e+09,37.784
FIZZ,2021-09-01,3.92936e+09,41.992
FIZZ,2021-12-01,3.39576e+09,36.264
FIZZ,2022-03-01,4.07208e+09,34.8
FIZZ,2022-06-01,4.58132e+09,39.152
FIZZ,2022-09-01,3.60731e+09,30.832
FIZZ,2022-12-01,4.3553e+09,37.224
FIZZ,2023-03-01,4.93517e+09,42.176
FIZZ,2023-06-01,4.52609e+09,38.68
FIZZ,2023-09-01,4.40154e+09,37.616
FIZZ,2023-12-01,5.81749e+09,49.72
FIZZ,2024-03-01,4.44415e+09,47.46
FIZZ,2024-06-01,4.79811e+09,51.24
FIZZ,2024-09-01,4.39673e+09,46.94
FIZZ,2024-12-01,3.99758e+09,42.67
FIZZ,2025-03-01,3.89192e+09,41.54
FIZZ,2025-06-01,4.0512e+09,43.24
FIZZ,2025-09-01,3.45937e+09,36.92
FIZZ,2025-12-01,2.98758e+09,31.89
FIZZ,2026-03-01,3.15115e+09,33.65
FIZZ,2026-06-01,2.92172e+09,31.2
FIZZ,2026-09-01,2.87068e+09,30.65
NFG,2019-12-01,4.04153e+09,46.54
NFG,2020-03-01,3.23987e+09,37.29
NFG,2020-06-01,3.62951e+09,41.93
NFG,2020-09-01,3.58506e+09,40.59
NFG,2020-12-01,3.63275e+09,41.13
NFG,2021-03-01,4.5745e+09,49.99
NFG,2021-06-01,4.78849e+09,52.25
NFG,2021-09-01,4.81939e+09,52.52
NFG,2021-12-01,5.86732e+09,63.94
NFG,2022-03-01,6.32265e+09,68.7
NFG,2022-06-01,6.08087e+09,66.05
NFG,2022-09-01,5.67297e+09,61.55
NFG,2022-12-01,5.83427e+09,63.3
NFG,2023-03-01,5.32757e+09,57.74
NFG,2023-06-01,4.73829e+09,51.36
NFG,2023-09-01,4.79102e+09,51.91
NFG,2023-12-01,4.63042e+09,50.17
NFG,2024-03-01,4.96599e+09,53.72
NFG,2024-06-01,5.01325e+09,54.19
NFG,2024-09-01,5.56849e+09,60.61
NFG,2024-12-01,5.57492e+09,60.68
NFG,2025-03-01,7.24072e+09,79.19
NFG,2025-06-01,7.72355e+09,84.71
NFG,2025-09-01,8.41856e+09,92.37
NFG,2025-12-01,7.29663e+09,80.06
NFG,2026-03-01,8.64079e+09,93.96
NFG,2026-06-01,7.38838e+09,77.21
NFG,2026-09-01,7.52584e+09,78.61
THC,2019-12-01,3.93831e+09,38.03
THC,2020-03-01,1.49124e+09,14.4
THC,2020-06-01,1.91482e+09,18.11
THC,2020-09-01,2.58772e+09,24.51
THC,2020-12-01,4.20315e+09,39.93
THC,2021-03-01,5.47368e+09,52
THC,2021-06-01,7.23927e+09,66.99
THC,2021-09-01,7.21332e+09,66.44
THC,2021-12-01,8.88469e+09,81.69
THC,2022-03-01,9.3491e+09,85.96
THC,2022-06-01,5.88777e+09,52.56
THC,2022-09-01,5.60932e+09,51.58
THC,2022-12-01,5.36144e+09,48.79
THC,2023-03-01,6.52954e+09,59.42
THC,2023-06-01,8.62677e+09,81.38
THC,2023-09-01,6.90382e+09,65.89
THC,2023-12-01,7.8914e+09,75.57
THC,2024-03-01,1.09761e+10,105.11
THC,2024-06-01,1.33826e+10,133.03
THC,2024-09-01,1.63614e+10,166.2
THC,2024-12-01,1.22004e+10,126.23
THC,2025-03-01,1.29997e+10,134.5
THC,2025-06-01,1.67233e+10,176
THC,2025-09-01,1.86372e+10,203.04
THC,2025-12-01,1.76086e+10,198.72
THC,2026-03-01,1.67216e+10,188.71
THC,2026-06-01,1.63875e+10,187.08
THC,2026-09-01,2.15317e+10,256.44
VYX,2019-12-01,4.33874e+09,35.16
VYX,2020-03-01,2.18418e+09,17.7
VYX,2020-06-01,2.26026e+09,17.32
VYX,2020-09-01,2.85385e+09,22.14
VYX,2020-12-01,4.87283e+09,37.57
VYX,2021-03-01,4.92212e+09,37.95
VYX,2021-06-01,6.14367e+09,45.61
VYX,2021-09-01,5.07756e+09,38.76
VYX,2021-12-01,5.53956e+09,40.2
VYX,2022-03-01,5.53818e+09,40.19
VYX,2022-06-01,4.22163e+09,31.11
VYX,2022-09-01,2.67661e+09,19.01
VYX,2022-12-01,3.28442e+09,23.41
VYX,2023-03-01,3.30968e+09,23.59
VYX,2023-06-01,3.51792e+09,25.2
VYX,2023-09-01,3.78659e+09,26.97
VYX,2023-12-01,2.38262e+09,16.91
VYX,2024-03-01,1.77957e+09,12.63
VYX,2024-06-01,1.77223e+09,12.35
VYX,2024-09-01,1.96765e+09,13.57
VYX,2024-12-01,2.01234e+09,13.84
VYX,2025-03-01,1.41765e+09,9.75
VYX,2025-06-01,1.64103e+09,11.73
VYX,2025-09-01,1.73064e+09,12.55
VYX,2025-12-01,1.40964e+09,10.2
VYX,2026-03-01,8.74806e+08,6.33
VYX,2026-06-01,1.13563e+09,8.17
VYX,2026-09-01,9.82514e+08,7.13
NYT,2019-12-01,5.39024e+09,25.736
NYT,2020-03-01,5.15093e+09,24.568
NYT,2020-06-01,7.05453e+09,33.624
NYT,2020-09-01,7.19227e+09,34.232
NYT,2020-12-01,8.70041e+09,41.416
NYT,2021-03-01,8.51413e+09,40.496
NYT,2021-06-01,7.32359e+09,34.84
NYT,2021-09-01,1.0368e+10,49.27
NYT,2021-12-01,1.0176e+10,48.3
NYT,2022-03-01,9.65769e+09,45.84
NYT,2022-06-01,4.69437e+09,27.9
NYT,2022-09-01,4.81954e+09,28.75
NYT,2022-12-01,5.40449e+09,32.46
NYT,2023-03-01,6.4734e+09,38.88
NYT,2023-06-01,6.51337e+09,39.38
NYT,2023-09-01,6.79952e+09,41.2
NYT,2023-12-01,8.10324e+09,48.99
NYT,2024-03-01,7.14885e+09,43.22
NYT,2024-06-01,8.48191e+09,51.21
NYT,2024-09-01,9.21416e+09,55.67
NYT,2024-12-01,8.63234e+09,52.05
NYT,2025-03-01,8.22601e+09,49.6
NYT,2025-06-01,9.23155e+09,55.98
NYT,2025-09-01,9.43346e+09,57.4
NYT,2025-12-01,1.14125e+10,69.42
NYT,2026-03-01,1.3765e+10,83.73
NYT,2026-06-01,1.14557e+10,69.98
NYT,2026-09-01,1.00907e+10,61.89
OII,2019-12-01,1.47505e+09,14.91
OII,2020-06-01,6.32961e+08,6.39
OII,2020-09-01,3.49441e+08,3.52
OII,2020-12-01,7.89411e+08,7.95
OII,2021-03-01,1.13397e+09,11.42
OII,2021-06-01,1.54861e+09,15.57
OII,2021-09-01,1.34328e+09,13.32
OII,2021-12-01,1.1287e+09,11.31
OII,2022-03-01,1.51292e+09,15.16
OII,2022-06-01,1.0676e+09,10.68
OII,2022-09-01,8.07383e+08,7.96
OII,2022-12-01,1.77191e+09,17.49
OII,2023-03-01,1.7861e+09,17.63
OII,2023-06-01,1.90794e+09,18.7
OII,2023-09-01,2.62354e+09,25.72
OII,2023-12-01,2.71868e+09,26.6
OII,2024-03-01,2.98953e+09,29.25
OII,2024-06-01,2.41923e+09,29.575
OII,2024-09-01,2.54848e+09,31.0875
OII,2024-12-01,2.67615e+09,32.6
OII,2025-03-01,2.23799e+09,27.2625
OII,2025-06-01,1.68914e+09,20.72
OII,2025-09-01,2.512e+09,24.78
OII,2025-12-01,2.4284e+09,24.03
OII,2026-03-01,3.58449e+09,35.47
OII,2026-06-01,4.07684e+09,40.52
OII,2026-09-01,4.65762e+09,46.24
ORI,2019-12-01,6.74197e+09,22.37
ORI,2020-03-01,4.59876e+09,15.25
ORI,2020-06-01,4.89757e+09,16.31
ORI,2020-09-01,4.38922e+09,14.74
ORI,2020-12-01,5.8734e+09,19.71
ORI,2021-03-01,6.51868e+09,21.84
ORI,2021-06-01,7.46537e+09,24.91
ORI,2021-09-01,6.99285e+09,23.13
ORI,2021-12-01,7.461e+09,24.58
ORI,2022-03-01,7.87357e+09,25.87
ORI,2022-06-01,6.82929e+09,22.36
ORI,2022-09-01,6.3584e+09,20.93
ORI,2022-12-01,7.33322e+09,24.15
ORI,2023-03-01,7.39102e+09,24.97
ORI,2023-06-01,7.39982e+09,25.17
ORI,2023-09-01,7.75556e+09,26.94
ORI,2023-12-01,8.22978e+09,29.4
