ticker,gics,status,quarters,first,last,px_last,splits,note,share_scale_fixed
VZ,Communication Services,ok,60.0,2010-09-30,2025-06-30,2025-09-30,,分拆 2008-04-01×1.00465;2010-07-02×1.06622,0.0
VRTX,Health Care,ok,66.0,2009-03-31,2025-06-30,2025-09-30,,,0.0
VTRS,Health Care,ok,26.0,2019-06-30,2025-06-30,2025-09-30,,,0.0
VICI,Real Estate,ok,31.0,2017-12-31,2025-06-30,2025-09-30,,,0.0
V,Financials,ok,68.0,2008-06-30,2025-06-30,,,,0.0
VST,Utilities,ok,35.0,2016-12-31,2025-06-30,2025-09-30,,,0.0
VMC,Materials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
WRB,Financials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,6.0
GWW,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
WAB,Industrials,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2013-06-30:2,,0.0
WMT,Consumer Staples,ok,68.0,2008-07-31,2025-07-31,2025-09-30,2024-01-31:3,,0.0
DIS,Communication Services,ok,31.0,2017-12-30,2025-06-28,2025-09-30,,,0.0
WBD,Communication Services,ok,44.0,2014-09-30,2025-06-30,2025-09-30,2014-09-30:2,分拆 2014-08-07×1.957,0.0
WM,Industrials,ok,68.0,2008-06-30,2025-06-30,2025-09-30,,,0.0
WAT,Health Care,ok,88.0,2008-06-28,2025-06-28,2025-09-30,,,0.0
WEC,Utilities,ok,52.0,2012-06-30,2025-06-30,2025-09-30,,,0.0
WFC,Financials,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,,0.0
WELL,Real Estate,ok,64.0,2009-06-30,2025-06-30,2025-09-30,,,1.0
WST,Health Care,ok,64.0,2009-06-30,2025-06-30,2025-09-30,2013-09-30:2,,0.0
WDC,Information Technology,ok,66.0,2008-09-26,2024-12-27,2025-01-31,,,0.0
WY,Real Estate,ok,68.0,2008-06-29,2025-06-30,2025-09-30,,,0.0
WSM,Consumer Discretionary,ok,64.0,2009-08-02,2025-08-03,2025-09-30,2024-07-28:2,,0.0
WMB,Energy,ok,54.0,2012-03-31,2025-06-30,2025-09-30,,分拆 2012-01-03×1.22669,0.0
WTW,Financials,ok,38.0,2016-03-31,2025-06-30,2025-09-30,2016-03-31:2,分拆 2016-01-05×0.3775,0.0
WDAY,Information Technology,ok,55.0,2011-10-31,2025-07-31,2025-09-30,,,0.0
WYNN,Consumer Discretionary,ok,66.0,2009-03-31,2025-06-30,2025-09-30,,,2.0
XEL,Utilities,ok,45.0,2008-06-30,2019-09-30,2025-09-30,,,0.0
XYL,Industrials,ok,59.0,2010-09-30,2025-06-30,2025-09-30,,,0.0
YUM,Consumer Discretionary,ok,34.0,2017-03-31,2025-06-30,2025-09-30,,分拆 2016-11-01×1.391,0.0
ZBRA,Information Technology,ok,64.0,2009-07-04,2025-06-28,2025-09-30,,,0.0
ZBH,Health Care,ok,14.0,2022-03-31,2025-06-30,2025-09-30,,分拆 2022-03-01×1.03,0.0
ZTS,Health Care,ok,54.0,2012-04-01,2025-06-30,2025-09-30,,,0.0
