cik,ticker,status,quarters,prices,splits,share_scale_fixed
822663,IPAR,ok,65.0,28.0,1.0,30.0
822818,CLH,ok,69.0,28.0,0.0,0.0
824142,AAON,ok,65.0,28.0,3.0,0.0
825542,SMG,ok,69.0,28.0,0.0,0.0
826154,ORRF,ok,65.0,28.0,4.0,0.0
826675,,short financials,,,,
827187,,no v2,,,,
827876,CLSK,ok,33.0,20.0,5.0,0.0
828944,WSFS,ok,65.0,28.0,1.0,0.0
831641,TTEK,ok,39.0,28.0,2.0,0.0
832428,SSP,ok,65.0,28.0,2.0,0.0
832988,SIG,ok,69.0,4.0,1.0,0.0
833079,MTH,ok,35.0,28.0,3.0,1.0
833640,POWI,ok,69.0,28.0,3.0,0.0
834365,BLFS,ok,63.0,28.0,5.0,0.0
835011,,no v2,,,,
835324,SYBT,ok,66.0,28.0,4.0,0.0
836157,LNN,ok,63.0,28.0,2.0,0.0
836690,,no v2,,,,
837465,CALY,ok,64.0,28.0,8.0,0.0
840489,FCFS,ok,65.0,28.0,3.0,0.0
842162,LEA,ok,66.0,28.0,0.0,0.0
842517,,no v2,,,,
842633,TRS,ok,62.0,28.0,2.0,0.0
842717,,no v2,,,,
844059,,no v2,,,,
844965,,no v2,,,,
845877,AGM,ok,64.0,28.0,2.0,0.0
846617,DCOM,ok,65.0,23.0,0.0,14.0
849146,,no v2,,,,
849869,SLGN,ok,69.0,28.0,0.0,0.0
850141,HMN,ok,66.0,28.0,0.0,24.0
850429,,no v2,,,,
851205,CGNX,ok,69.0,28.0,0.0,0.0
851310,,no v2,,,,
851520,EXPO,ok,65.0,28.0,2.0,0.0
853816,LSTR,ok,66.0,28.0,0.0,0.0
854560,GSBC,ok,65.0,28.0,6.0,35.0
854775,DGII,ok,65.0,28.0,3.0,0.0
855658,LSCC,ok,65.0,28.0,1.0,0.0
855683,,no v2,,,,
856982,MMSI,ok,66.0,28.0,4.0,0.0
857855,UCB,ok,65.0,28.0,2.0,4.0
859070,,no v2,,,,
860413,FIBK,ok,65.0,28.0,3.0,0.0
860546,CDP,ok,69.0,28.0,1.0,0.0
860748,KMPR,ok,69.0,28.0,1.0,0.0
861459,GVA,ok,69.0,28.0,2.0,6.0
861842,CATY,ok,66.0,28.0,2.0,0.0
861884,RS,ok,69.0,28.0,0.0,0.0
862831,FISI,ok,64.0,28.0,5.0,3.0
863110,,no v2,,,,
863436,BHE,ok,70.0,28.0,2.0,0.0
863894,,no v2,,,,
