ticker,name,mc,px,industry
RQI,Cohen & Steers Quality Income Realty Fund Inc Common Shares,1.52431e+09,11.35,Finance
MQY,Blackrock MuniYield Quality Fund Inc. Common Stock,1.51886e+09,10.21,Finance
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,1.50848e+09,13.95,Finance
OMER,Omeros Corporation Common Stock,1.50133e+09,20.74,Health Care
AVBP,ArriVent BioPharma Inc. Common Stock,1.49402e+09,30.3,Health Care
MUC,Blackrock MuniHoldings California Quality Fund Inc.  Common Stock,1.49358e+09,10.04,Finance
GLOB,Globant S.A. Common Shares,1.48754e+09,34.45,Technology
MYI,Blackrock MuniYield Quality Fund III Inc Common Stock,1.45936e+09,9.81,Finance
CSWC,Capital Southwest Corporation Common Stock,1.43856e+09,23.15,Consumer Discretionary
BKT,BlackRock Income Trust Inc. (The),1.42961e+09,9.61,Finance
NRP,Natural Resource Partners LP Limited Partnership,1.42548e+09,107.58,Energy
MUA,Blackrock MuniAssets Fund Inc Common Stock,1.41919e+09,9.54,Finance
NCV,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,1.40892e+09,15.59,Finance
ORIC,Oric Pharmaceuticals Inc. Common Stock,1.38169e+09,13.33,Health Care
CDNL,Cardinal Infrastructure Group Inc. Class A Common Stock,1.36153e+09,28.68,Industrials
KARD,Kardigan Inc. Common Stock,1.35767e+09,14.52,Health Care
BCAX,Bicara Therapeutics Inc. Common Stock,1.35555e+09,20.485,Health Care
LTGO,Latigo Biotherapeutics Inc. Common Stock,1.324e+09,19.97,Health Care
AVLN,Avalyn Pharma Inc. Common Stock,1.31536e+09,29.67,Health Care
BRUN,Boost Run Inc. Class A Common Stock,1.31234e+09,16.51,Technology
TRAX,First Tracks Biotherapeutics Inc. Ordinary Shares ,1.30989e+09,36.66,Health Care
ITG,ITG Inc. Class A Common Stock,1.26889e+09,10.22,Industrials
LBRX,LB Pharmaceuticals Inc Common Stock,1.26424e+09,39.19,Health Care
YSWY,Yesway Inc. Class A Common Stock,1.23672e+09,19.57,Consumer Staples
CNL,Collective Mining Ltd. Common Shares,1.22699e+09,13.23,Uncategorized
REPL,Replimune Group Inc. Common Stock,1.22109e+09,12.96,Health Care
CLBK,Columbia Financial Inc. Common Stock,1.16325e+09,11.18,Finance
VOR,Vor Biopharma Inc. Common Stock,1.14597e+09,19.37,Health Care
SPTX,Seaport Therapeutics Inc. Common Stock,1.13967e+09,21.29,Health Care
PSEC,Prospect Capital Corporation Common Stock,1.13889e+09,2.17,Finance
NCZ,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,1.12118e+09,14.73,Finance
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,1.09788e+09,12.9,Health Care
AKTS,Aktis Oncology Inc. Common stock,1.09682e+09,19.72,Health Care
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,1.09526e+09,49.43,Finance
CGEM,Cullinan Therapeutics Inc. Common Stock,1.08566e+09,16.87,Health Care
GSBD,Goldman Sachs BDC Inc. Common Stock,1.08517e+09,9.64,Finance
ANRO,Alto Neuroscience Inc. Common Stock,1.07916e+09,27.5,Health Care
OCSL,Oaktree Specialty Lending Corporation Common Stock,1.07112e+09,12.16,Finance
DEC,Diversified Energy Company Common Stock,1.06614e+09,13.89,Uncategorized
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,1.05543e+09,9.63,Finance
CRVS,Corvus Pharmaceuticals Inc. Common Stock,1.05488e+09,12.54,Health Care
SBR,Sabine Royalty Trust Common Stock,1.05452e+09,72.33,Energy
NBN,Northeast Bank Common Stock,1.04885e+09,129.01,Finance
FSCO,FS Credit Opportunities Corp. Common Stock,1.04534e+09,5.27,Finance
BCX,BlackRock Resources Common Shares of Beneficial Interest,1.0429e+09,12.29,Finance
ASA,ASA  Gold and Precious Metals Limited,1.04001e+09,57.09,Industrials
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,1.02961e+09,9.59,Finance
SVRA,Savara Inc. Common Stock,1.0273e+09,5,Health Care
HQH,abrdn Healthcare Investors Shares of Beneficial Interest,1.02262e+09,21.6,Finance
BTZ,BlackRock Credit Allocation Income Trust,1.01971e+09,9.43,Finance
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,1.01691e+09,9.97,Finance
ODTX,Odyssey Therapeutics Inc. Common Stock,9.97695e+08,20.76,Health Care
KURA,Kura Oncology Inc. Common Stock,9.82125e+08,11.04,Health Care
LMRI,Lumexa Imaging Holdings Inc. Common Stock,9.742e+08,10.14,Health Care
OIG,Orion180 Insurance Group Inc. Class A common stock,9.65566e+08,9.75,Finance
ALMS,Alumis Inc. Common Stock,9.62998e+08,7.44,Health Care
BXBL,BOXABL Inc. Common stock,9.61144e+08,3.98,Consumer Discretionary
BTGO,BitGo Holdings Inc. Class A Common Stock,9.5212e+08,8.1,Finance
OBX,Obsidian Therapeutics Inc. Common Stock,9.42654e+08,15.26,Health Care
SGP,SpyGlass Pharma Inc. Common Stock,9.41895e+08,28.16,Health Care
APMD,Apnimed Inc. Common Stock,9.36276e+08,22.49,Health Care
JBIO,Jade Biosciences Inc. Common Stock,9.35518e+08,14.71,Health Care
RMIX,Suncrete Inc. Class A Common Stock,9.35475e+08,12.73,Industrials
SANA,Sana Biotechnology Inc. Common Stock,9.22031e+08,3.08,Health Care
NNE,Nano Nuclear Energy Inc. Common Stock,9.13405e+08,17.01,Utilities
FRBT,Forbright Inc. Class A Common Stock,9.07159e+08,17.87,Finance
BBDC,Barings BDC Inc. Common Stock,9.06762e+08,8.66,Finance
ANGX,Angel Studios Inc. Class A Common Stock,9.05768e+08,4.85,Consumer Discretionary
CIM,Chimera Investment Corporation Common Stock,8.99902e+08,10.75,Real Estate
DC,Dakota Gold Corp. Common Stock,8.90909e+08,6.64,Basic Materials
FMN,Federated Hermes Premier Municipal Income Fund,8.84975e+08,10.26,Finance
CADL,Candel Therapeutics Inc. Common Stock,8.63895e+08,11.29,Health Care
KBDC,Kayne Anderson BDC Inc. Common Stock,8.63775e+08,13.08,Uncategorized
