進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),113年11月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1561987
出口總值(含復出口),113年11月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1314530
出口總值(含復出口),113年11月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7239
出口總值(含復出口),113年11月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,96748
出口總值(含復出口),113年11月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,141956
出口總值(含復出口),113年11月,848690,零件及附件, Parts and accessories,191404
出口總值(含復出口),113年11月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,14238
出口總值(含復出口),113年11月,850440,靜電式變流器, Static converters,181343
出口總值(含復出口),113年11月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,795566
出口總值(含復出口),113年11月,853400,印刷電路, Printed circuit,404908
出口總值(含復出口),113年11月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,54127
出口總值(含復出口),113年11月,854149,其他, Other,18739
出口總值(含復出口),113年11月,854232,記憶體, Memories,2058770
出口總值(含復出口),113年11月,854470,光纖電纜, Optical fibre cables,13416
出口總值(含復出口),113年11月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,832
出口總值(含復出口),113年12月,841459,其他, Other,23720
出口總值(含復出口),113年12月,841950,熱交換器, Heat exchange units,4860
出口總值(含復出口),113年12月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,2832228
出口總值(含復出口),113年12月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1421600
出口總值(含復出口),113年12月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7814
出口總值(含復出口),113年12月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,100862
出口總值(含復出口),113年12月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,177142
出口總值(含復出口),113年12月,848690,零件及附件, Parts and accessories,176348
出口總值(含復出口),113年12月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,12656
出口總值(含復出口),113年12月,850440,靜電式變流器, Static converters,180651
出口總值(含復出口),113年12月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,964192
出口總值(含復出口),113年12月,853400,印刷電路, Printed circuit,416203
出口總值(含復出口),113年12月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,62404
出口總值(含復出口),113年12月,854149,其他, Other,17862
出口總值(含復出口),113年12月,854232,記憶體, Memories,2255330
出口總值(含復出口),113年12月,854470,光纖電纜, Optical fibre cables,11551
出口總值(含復出口),113年12月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,1053
出口總值(含復出口),114年1月,841459,其他, Other,20342
出口總值(含復出口),114年1月,841950,熱交換器, Heat exchange units,5745
出口總值(含復出口),114年1月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,1115729
出口總值(含復出口),114年1月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1128210
出口總值(含復出口),114年1月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,7461
出口總值(含復出口),114年1月,848340,齒輪及齒輪裝置（帶齒輪、鏈輪及其他傳動元件，單獨呈現者除外）；滾珠或滾子螺桿；齒輪箱及其他變速器，包括扭矩轉換器, Gears and gearing other than toothed wheels chain sprockets and other transmission elements presented separately; ball or roller screws; gear boxes and other speed changers including torque converters,73005
出口總值(含復出口),114年1月,848620,製造半導體裝置或積體電路之機器及器具, Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,142342
出口總值(含復出口),114年1月,848690,零件及附件, Parts and accessories,173536
出口總值(含復出口),114年1月,850131,輸出未超過７５０瓦者, Of an output not exceeding 750 W,16840
出口總值(含復出口),114年1月,850440,靜電式變流器, Static converters,177059
出口總值(含復出口),114年1月,851762,接收、轉換及傳輸或再生聲音、圖像或其他資料之機器，包括交換器及路由器, Machines for the reception conversion and transmission or regeneration of voice images or other data including switching and routing apparatus,725994
出口總值(含復出口),114年1月,853400,印刷電路, Printed circuit,388863
出口總值(含復出口),114年1月,853710,電壓未超過１０００伏特者, For a voltage not exceeding 1000 V,49952
出口總值(含復出口),114年1月,854149,其他, Other,17012
出口總值(含復出口),114年1月,854232,記憶體, Memories,1935244
出口總值(含復出口),114年1月,854470,光纖電纜, Optical fibre cables,14639
出口總值(含復出口),114年1月,900110,光纖、光纖束及光纖傳輸纜, Optical fibres optical fibre bundles and cables,533
出口總值(含復出口),114年2月,841459,其他, Other,16506
出口總值(含復出口),114年2月,841950,熱交換器, Heat exchange units,3798
出口總值(含復出口),114年2月,847150,第８４７１．４１或８４７１．４９等目除外之處理單元，在同一機殼內不論其是否含有一個或兩個下列形式之單元：儲存單元、輸入單元、輸出單元, Processing units other than those of subheadings 8471.41 or 8471.49 whether or not containing in the same housing one or two of the following types of unit; storage units input units output units,2686007
出口總值(含復出口),114年2月,847330,第８４７１節機器之零件及附件, Parts and accessories of the machines of heading 84.71,1171907
出口總值(含復出口),114年2月,847950,未在其他部份載明或包括之工業用機器人, Industrial robots not elsewhere specified or included,9599
